word,n,sentiment,new_df_select_category1
寧願,13,negative,d
厲害,13,negative,a
衝突,13,negative,vn
應,13,positive,v
壞人,13,negative,n
難得,13,positive,d
寶貝,13,positive,nr
不好意思,12,negative,a
公平,12,positive,n
天真,12,positive,nz
天真,12,negative,nz
可笑,12,positive,v
可笑,12,negative,v
正,12,positive,d
用盡,12,negative,v
丟掉,12,negative,v
同情,12,positive,n
同情,12,negative,n
好事,12,positive,n
好事,12,negative,n
好感,12,positive,n
有錢,12,positive,v
忍住,12,negative,v
沈默,12,negative,nr
沒用,12,negative,v
沒能,12,negative,v
沒想,12,negative,l
卑微,12,negative,a
坦白,12,positive,n
奇妙,12,positive,a
拋棄,12,negative,v
治療,12,positive,v
疙瘩,12,negative,n
指責,12,negative,v
相當,12,positive,d
浪費時間,12,negative,n
理所當然,12,positive,i
脫離,12,negative,v
無助,12,negative,v
發洩,12,negative,x
發覺,12,positive,v
愛人,12,positive,n
歇斯底里,12,negative,ns
達到,12,positive,v
噁心,12,negative,n
噓,12,negative,e
樂觀,12,positive,a
錯愕,12,negative,a
錯過,12,negative,v
戴,12,positive,v
賺錢,12,positive,v
避免,12,positive,v
避免,12,negative,v
隱藏,12,negative,v
瀟灑,12,positive,a
心動,11,positive,n
正面,11,positive,ad
丟臉,11,negative,v
地雷,11,negative,n
好笑,11,positive,v
低頭,11,negative,n
冷落,11,negative,v
否認,11,negative,v
到家,11,positive,x
玩笑,11,negative,v
糾纏,11,negative,v
紀念,11,positive,n
美麗,11,positive,ns
苦,11,positive,a
苦,11,negative,a
恐怖,11,negative,a
真愛,11,positive,nr
退回,11,negative,v
停止,11,negative,v
專注,11,positive,v
從頭到尾,11,positive,i
異常,11,negative,d
笨蛋,11,negative,n
陰影,11,negative,n
發脾氣,11,negative,v
黑暗,11,negative,z
感冒,11,negative,v
解除,11,positive,v
道別,11,positive,n
道理,11,positive,n
疑問,11,negative,v
盡,11,positive,zg
寬容,11,positive,a
憂鬱,11,negative,a
潮,11,negative,n
熟,11,positive,a
頻繁,11,negative,a
隱瞞,11,negative,v
離婚,11,negative,v
懶,11,negative,a
關注,11,positive,v
難看,11,negative,v
騙人,11,negative,n
人才,10,positive,n
小氣,10,negative,n
不滿,10,negative,a
不適,10,negative,a
友人,10,positive,n
太過,10,negative,x
幻想,10,positive,n
幻想,10,negative,n
心愛,10,positive,n
白痴,10,negative,nr
全,10,positive,a
合適,10,positive,a
好看,10,positive,v
好過,10,positive,x
好轉,10,positive,v
死心,10,negative,n
自殺,10,negative,v
低落,10,negative,v
克服,10,positive,v
欣賞,10,positive,v
空虛,10,negative,n
急,10,positive,v
急,10,negative,v
重,10,positive,a
重,10,negative,a
時機,10,positive,n
消磨,10,negative,v
純,10,positive,a
討,10,negative,v
勒索,10,negative,nrt
基本,10,positive,n
笨,10,negative,zg
通知,10,positive,v
敢,10,positive,v
無比,10,positive,v
發呆,10,negative,v
硬,10,positive,a
硬,10,negative,a
傻事,10,negative,n
暗示,10,negative,v
滑,10,positive,v
逼問,10,negative,v
過敏,10,negative,nr
實現,10,positive,v
實際,10,positive,n
滿意,10,positive,v
語無倫次,10,negative,i
標準,10,positive,n
模糊,10,negative,a
質疑,10,negative,v
獲得,10,positive,v
邀請,10,positive,v
擺脫,10,negative,v
懶得,10,negative,v
驕傲,10,negative,a
髒話,10,negative,n
髒話,10,negative,n
變心,10,negative,v
大意,9,negative,d
大聲,9,negative,m
不成,9,negative,v
不著,9,negative,x
反覆,9,negative,v
反覆,9,negative,v
平安,9,positive,a
犯賤,9,negative,n
好人,9,positive,n
你媽,9,negative,x
困惑,9,negative,a
扶持,9,positive,v
抗拒,9,negative,v
私底下,9,negative,n
坦然,9,positive,ad
肯,9,positive,v
信仰,9,positive,n
勁,9,positive,n
哀,9,negative,vg
幽默,9,positive,a
很慘,9,negative,a
相反,9,positive,v
相反,9,negative,v
看好,9,positive,v
重視,9,positive,v
容忍,9,positive,a
容忍,9,negative,a
疼愛,9,positive,n
破壞,9,negative,v
臭,9,negative,a
教訓,9,negative,vn
清晰,9,positive,a
爽,9,positive,nr
甜言蜜語,9,negative,i
透露,9,negative,v
創業,9,positive,n
善良,9,positive,a
悲觀,9,negative,a
散,9,negative,v
減少,9,negative,v
渴望,9,positive,v
無理取鬧,9,negative,l
黑,9,negative,a
煎熬,9,negative,v
落落,9,positive,v
試圖,9,negative,v
過錯,9,negative,v
過頭,9,negative,n
疑惑,9,negative,v
瘋子,9,negative,n
認,9,positive,v
瘦,9,negative,a
賤,9,positive,a
賤,9,negative,a
靠北,9,negative,v
激動,9,negative,a
優點,9,positive,n
點頭,9,positive,v
藍圖,9,positive,nr
難聽,9,negative,v
願,9,positive,v
顧慮,9,negative,v
灑脫,9,positive,v
髒,9,negative,a
邏輯,9,positive,n
大雨,8,negative,n
不下,8,negative,v
不堪,8,negative,v
內疚,8,negative,a
分隔,8,negative,v
可悲,8,negative,a
地位,8,positive,n
好奇,8,positive,a
成全,8,positive,v
成績,8,positive,n
有心,8,positive,a
有緣,8,positive,n
肉,8,negative,n
自在,8,positive,d
自願,8,positive,d
行,8,positive,zg
屁話,8,negative,n
快速,8,positive,d
把握,8,positive,v
攻擊,8,negative,v
沒法,8,negative,v
拖累,8,negative,v
便當,8,positive,a
流血,8,negative,v
胡思亂想,8,negative,i
負債,8,negative,n
害,8,negative,v
差別,8,negative,d
恐懼,8,negative,an
真誠,8,positive,a
荒唐,8,negative,a
偏偏,8,positive,d
理會,8,positive,n
窒息,8,negative,v
被動,8,negative,vn
責怪,8,negative,v
悲劇,8,negative,n
棒,8,positive,zg
無視,8,negative,v
絕望,8,negative,v
貴,8,positive,a
貴,8,negative,a
想不到,8,negative,l
愛心,8,positive,n
誠實,8,positive,a
過不去,8,negative,t
厭煩,8,negative,v
夥伴,8,positive,n
寧可,8,negative,nr
輕輕,8,positive,d
增加,8,positive,v
震驚,8,negative,v
興奮,8,positive,v
頭,8,positive,n
糟,8,negative,v
隱約,8,negative,z
爆炸,8,negative,v
願望,8,positive,v
爛人,8,negative,x
轟轟烈烈,8,positive,i
驚醒,8,negative,a
一口,7,positive,m
一致,7,positive,d
大便,7,negative,d
大笑,7,positive,v
介意,7,negative,v
允許,7,positive,v
分離,7,negative,v
友情,7,positive,n
友誼,7,positive,nr
心寒,7,negative,n
叮嚀,7,positive,v
回報,7,positive,v
有說有笑,7,positive,l
老是,7,negative,x
自我中心,7,negative,l
自認,7,positive,v
自認,7,negative,v
完整,7,positive,a
屁股,7,negative,n
沉重,7,negative,a
刺傷,7,negative,v
刺激,7,negative,v
呵護,7,positive,v
果斷,7,positive,d
空洞,7,negative,n
威脅,7,negative,vn
建立,7,positive,v
建立,7,positive,v
很好,7,positive,zg
很爛,7,negative,a
活潑,7,positive,a
炫耀,7,negative,a
哽咽,7,negative,v
埋怨,7,negative,v
恐怕,7,negative,v
恭喜,7,positive,d
消極,7,negative,a
缺乏,7,negative,n
偽裝,7,negative,v
得不到,7,negative,x
敏感,7,positive,v
敏感,7,negative,a
淚流滿面,7,negative,a
喜悅,7,positive,l
報復,7,negative,a
期盼,7,positive,v
殘酷,7,negative,v
無關,7,negative,a
發作,7,negative,v
發誓,7,negative,vn
開朗,7,positive,v
傷,7,negative,ns
傻子,7,negative,v
傻瓜,7,negative,n
愛好,7,positive,n
愛理不理,7,negative,a
溫馨,7,positive,l
羨慕,7,positive,nr
羨慕,7,negative,v
落下,7,negative,v
落空,7,negative,v
該死,7,negative,n
過分,7,negative,v
過度,7,negative,n
圖,7,negative,n
夢境,7,positive,zg
實際上,7,positive,n
睡不著,7,negative,d
精力,7,positive,x
廢話,7,negative,n
撕裂,7,negative,n
瞎,7,negative,v
質問,7,negative,v
賭氣,7,negative,n
鬧脾氣,7,negative,n
激情,7,positive,v
聰明,7,positive,n
謊言,7,negative,a
邁進,7,positive,n
醜陋,7,negative,v
贅述,7,negative,a
鬆,7,positive,v
難堪,7,negative,v
寶貴,7,positive,v
大方,6,positive,nr
小心翼翼,6,positive,n
不巧,6,negative,i
不住,6,negative,a
不良,6,negative,v
不知所措,6,negative,a
不當,6,negative,i
不顧,6,negative,d
五味雜陳,6,negative,v
反,6,negative,l
反感,6,negative,zg
反駁,6,negative,v
外向,6,positive,v
平凡,6,negative,n
打出,6,negative,a
正好,6,positive,v
光,6,positive,a
合理,6,positive,n
名,6,positive,vn
好心,6,positive,q
好玩,6,positive,n
安,6,positive,v
安全,6,positive,v
安定,6,positive,an
有用,6,positive,v
低調,6,positive,v
呆,6,negative,v
扭曲,6,negative,v
束縛,6,negative,v
固執,6,negative,vn
怪罪,6,negative,a
放任,6,negative,n
放在心上,6,positive,v
明,6,positive,l
明確,6,positive,a
盲目,6,negative,ad
直,6,positive,n
知名,6,positive,d
便宜,6,positive,v
保重,6,positive,a
保養,6,positive,v
前輩,6,positive,v
帥,6,positive,n
建設,6,positive,nr
很漂亮,6,positive,vn
拜,6,positive,n
拜訪,6,positive,v
活著,6,positive,v
狠,6,positive,x
狠,6,negative,d
要死,6,negative,d
害羞,6,negative,v
恐嚇,6,negative,a
挫折,6,negative,v
留戀,6,positive,n
破碎,6,negative,v
笑話,6,negative,v
虔誠,6,positive,n
配不上,6,negative,a
偷,6,negative,v
崇拜,6,positive,v
強求,6,negative,nrt
掉淚,6,negative,v
排斥,6,negative,v
淚流,6,negative,v
清,6,positive,n
甜美,6,positive,t
被騙,6,negative,a
訝異,6,negative,v
通,6,positive,v
逞強,6,negative,v
麻,6,negative,v
創造,6,positive,nr
惡夢,6,negative,v
智障,6,negative,n
最壞,6,negative,n
無趣,6,negative,x
絕情,6,negative,n
著想,6,positive,n
辜負,6,negative,x
進步,6,positive,v
順遂,6,positive,d
亂七八糟,6,negative,v
愚蠢,6,negative,i
溫和,6,positive,a
落淚,6,negative,a
落寞,6,negative,v
裝作,6,negative,a
解開,6,positive,v
跨越,6,positive,v
過世,6,negative,v
過份,6,negative,t
慘,6,negative,n
盡情,6,positive,zg
稱讚,6,positive,d
遠離,6,negative,v
嘲笑,6,negative,v
廢,6,negative,v
憋,6,negative,v
熱心,6,positive,zg
窮,6,negative,n
緬懷,6,positive,a
諒解,6,positive,ns
諒解,6,negative,v
踏實,6,positive,v
親人,6,positive,a
頭痛,6,negative,n
嚇到,6,negative,n
壓倒,6,negative,v
聯誼,6,positive,v
雞毛蒜皮,6,negative,nz
懶人,6,negative,i
騷擾,6,negative,n
蠢,6,negative,v
辯解,6,negative,a
霸道,6,negative,v
顧,6,positive,n
顯然,6,positive,v
體面,6,positive,ad
鑽牛角尖,6,negative,n
一拳,5,negative,n
一廂情願,5,negative,m
大事,5,positive,i
干涉,5,negative,n
不甘,5,negative,v
不歡而散,5,negative,v
反反覆覆,5,negative,i
反抗,5,negative,l
反悔,5,negative,v
太好,5,positive,v
巴掌,5,negative,x
心死,5,negative,nr
心煩,5,negative,x
心酸,5,negative,a
火,5,positive,n
火,5,negative,n
出局,5,negative,n
打破,5,positive,n
打破,5,negative,v
本質,5,positive,v
正軌,5,positive,n
正當,5,positive,b
犯錯,5,negative,a
示好,5,positive,v
危險,5,negative,v
名牌,5,positive,an
名義,5,negative,n
好聽,5,positive,n
有趣,5,positive,v
自助,5,positive,a
自尊,5,positive,v
自稱,5,negative,v
伴隨,5,positive,v
作為,5,positive,v
作祟,5,negative,x
呈現,5,positive,v
困境,5,negative,v
忍痛,5,negative,n
抓住,5,negative,v
沒出息,5,negative,v
佩服,5,positive,l
來得,5,positive,v
奇蹟,5,positive,v
孤獨,5,negative,n
定,5,positive,a
忽視,5,negative,v
怪異,5,negative,v
拖著,5,negative,a
服務,5,positive,x
爭論,5,negative,vn
長篇大論,5,negative,v
阻止,5,negative,l
冒,5,negative,v
哀求,5,negative,v
契機,5,positive,v
封閉,5,negative,n
怠惰,5,negative,v
怨,5,negative,a
怨恨,5,negative,v
挑戰,5,negative,v
背後,5,negative,vn
苦苦,5,positive,f
苦苦,5,negative,a
重演,5,negative,a
風度,5,positive,vn
哭訴,5,negative,n
恩愛,5,positive,v
格外,5,negative,nr
消耗,5,negative,d
草草,5,negative,n
迴避,5,negative,n
動搖,5,negative,v
帶領,5,positive,v
強勢,5,positive,v
教育,5,positive,n
深入,5,positive,vn
混亂,5,negative,v
甜,5,positive,a
疏遠,5,negative,a
眷戀,5,positive,a
符合,5,positive,v
細心,5,positive,v
麻痺,5,negative,n
傢伙,5,negative,x
喜好,5,positive,n
報應,5,negative,v
尊嚴,5,positive,v
悶,5,negative,a
愣,5,negative,v
提升,5,positive,v
期許,5,positive,v
無法忍受,5,negative,v
無法挽回,5,negative,l
無微不至,5,positive,i
無意,5,positive,i
無意,5,negative,v
發飆,5,negative,v
絕不,5,negative,n
開啟,5,positive,d
開啟,5,positive,x
順從,5,positive,x
順從,5,negative,p
催促,5,negative,p
傳統,5,positive,v
債務,5,negative,n
廉價,5,positive,n
意圖,5,negative,n
愛吃,5,negative,n
搞不懂,5,negative,x
暗自,5,negative,l
極力,5,positive,d
極端,5,negative,n
當真,5,positive,n
綁架,5,negative,d
達成,5,positive,v
厭倦,5,negative,v
察覺,5,positive,v
實話,5,positive,v
精彩,5,positive,v
緊,5,negative,n
憐憫,5,positive,a
憐憫,5,negative,v
憧憬,5,positive,v
潑冷水,5,negative,v
熟識,5,positive,n
熱鬧,5,positive,v
衝擊,5,negative,a
請教,5,positive,vn
踐踏,5,negative,v
餘地,5,negative,v
魅力,5,positive,n
整,5,positive,n
激烈,5,negative,v
遲鈍,5,negative,a
遵守,5,positive,a
檢舉,5,positive,v
營養,5,positive,v
燦爛,5,positive,n
避開,5,negative,a
斷絕,5,negative,v
禮貌,5,positive,v
豐富,5,positive,n
贊成,5,positive,a
辭職,5,negative,v
難題,5,negative,v
顯示,5,negative,n
人緣,4,positive,v
下場,4,negative,n
大量,4,positive,n
小看,4,negative,n
干擾,4,negative,v
不乏,4,positive,v
不出,4,negative,v
不吃,4,negative,v
不合理,4,negative,v
不自在,4,negative,n
不定,4,negative,d
不幸,4,negative,d
不負責任,4,negative,a
不起,4,negative,l
不得了,4,negative,x
不穩,4,negative,l
不覺,4,negative,a
不變,4,positive,d
內向,4,positive,v
冗長,4,negative,n
切斷,4,negative,n
反胃,4,negative,v
天堂,4,positive,v
心灰意冷,4,negative,n
可行,4,positive,i
可靠,4,positive,v
打氣,4,positive,v
未知,4,negative,v
甩掉,4,negative,v
再犯,4,negative,v
吃苦,4,positive,v
吃苦,4,negative,a
地獄,4,negative,a
多餘,4,negative,n
多餘,4,negative,m
好日子,4,positive,m
好運,4,positive,l
成就,4,positive,n
有夠,4,negative,n
死去活來,4,negative,x
死黨,4,negative,l
老實,4,positive,n
老實,4,negative,n
吵吵鬧鬧,4,negative,n
忍心,4,negative,v
志願,4,positive,v
沈重,4,negative,n
沒去,4,negative,x
沒有勇氣,4,negative,v
迅速,4,positive,l
乖,4,positive,ad
刺眼,4,positive,a
刺眼,4,negative,v
協助,4,positive,v
受過,4,negative,v
和解,4,positive,v
拉肚子,4,negative,v
放縱,4,negative,n
昇華,4,positive,v
